bps,sharpe,sortino,max_dd,turnover,dsr,method
0.0,0.4078472806921857,0.5810286572766611,-0.16082272680520981,0.0870731734853406,0.9986879214208175,baseline
2.0,0.3973594863803999,0.5657082299855519,-0.16163115540697348,0.0870731734853406,0.9983129251467087,baseline
5.0,0.38162868511632564,0.5427673706972722,-0.16284234057268898,0.0870731734853406,0.997565549937866,baseline
10.0,0.35541317102311504,0.5046384778947911,-0.16485710143623677,0.0870731734853406,0.9956357013072419,baseline
0.0,0.7432464997616314,1.0800791447494464,-0.06521004899543215,1.2371909290001277,0.9999999786021798,tsmom
2.0,0.5108573765701189,0.7333871677466768,-0.08363007397576538,1.2371909290001277,0.9999184852338567,tsmom
5.0,0.164568896473185,0.2320321099683771,-0.14258564219624126,1.2371909290001277,0.8880661815830838,tsmom
10.0,-0.4056371013015411,-0.555340976712305,-0.4123138101524565,1.2371909290001277,0.001339623421708458,tsmom
0.0,0.7031351648595634,1.0048992952723093,-0.04291525866311208,0.4941377824302457,0.9999998804846334,xs_momentum
2.0,0.595332975677559,0.8461126684326075,-0.04840559878567019,0.4941377824302457,0.9999940246902944,xs_momentum
5.0,0.4337401933832175,0.6113530081913869,-0.05658226462239546,0.4941377824302457,0.9993004173862559,xs_momentum
10.0,0.16487566897055175,0.22922089023633532,-0.08119406966540643,0.4941377824302457,0.8882776807266313,xs_momentum
0.0,-0.572500055437993,-0.7694397568533254,-0.6485354934584553,0.9224030299026725,1.0715315265308334e-05,carry
2.0,-0.7302847814145247,-0.9726633358807353,-0.6907552286545928,0.9224030299026725,2.8631068238471613e-08,carry
5.0,-0.964111594854609,-1.2669890139083284,-0.7447822818164913,0.9224030299026725,3.514410984450933e-13,carry
10.0,-1.344960286022571,-1.7292169186003616,-0.8147831365042733,0.9224030299026725,0.0,carry
0.0,-0.25554530401873826,-0.35039159441932705,-0.29144864744695653,0.35193052590187873,0.029198275447610222,seasonality
2.0,-0.3097186256331644,-0.42330736344789155,-0.33160807921575264,0.35193052590187873,0.010872842600728072,seasonality
5.0,-0.3907526205367812,-0.5314751185030645,-0.3883157141906577,0.35193052590187873,0.001884860567302249,seasonality
10.0,-0.5249152182311687,-0.7081317170049186,-0.47235346791933874,0.35193052590187873,4.902897897279823e-05,seasonality
0.0,0.72027055386222,1.0528227017283387,-0.06088367679908391,1.121931236915346,0.9999999483190867,seasonal_tilt
2.0,0.4947121135971318,0.7144664225726395,-0.07949406614405752,1.121931236915346,0.9998721667328878,seasonal_tilt
5.0,0.1586070886964268,0.2250098510716377,-0.14955340611584222,1.121931236915346,0.8795629021641509,seasonal_tilt
10.0,-0.3947210595776252,-0.5439048293007896,-0.39154222163257235,1.121931236915346,0.0017610971957349175,seasonal_tilt
